,Unnamed: 0,주소,매장명,위도,경도,매장,0,1,2,3,지점명,시,구,동
0,0.0,서울특별시 도봉구 노해로 389,창동역점,37.6527753,127.0513676,버거킹,,,,,,,,
1,1.0,서울특별시 영등포구 선유로 130,양평점,37.5254958,126.8913574,버거킹,,,,,,,,
2,2.0,서울특별시 도봉구 도당로 6,쌍문점,37.6587126844,127.0353725363,버거킹,,,,,,,,
3,3.0,서울특별시 서대문구 연세로 25,연세로점,37.557894703,126.93669781,버거킹,,,,,,,,
4,4.0,서울특별시 종로구 종로 94,종로점,37.5699587,126.9881077,버거킹,,,,,,,,
5,5.0,서울특별시 강동구 천호대로 1012,천호역점,37.5380965152,127.1241540582,버거킹,,,,,,,,
6,6.0,서울특별시 도봉구 도봉로 437,쌍문SK점,37.6451077,127.0322052,버거킹,,,,,,,,
7,7.0,서울특별시 강동구 고덕로 168,명일DT점,37.5544793435,127.1440134605,버거킹,,,,,,,,
8,8.0,서울특별시 강북구 도봉로 314 삼성화재 수유사옥 1층,수유역점,37.6361131,127.024184,버거킹,,,,,,,,
9,9.0,서울특별시 강남구 선릉로 429,선릉역점,37.5032033832,127.0493137037,버거킹,,,,,,,,
10,10.0,서울특별시 강남구 남부순환로 2936,대치역점,37.4933476488,127.0619178573,버거킹,,,,,,,,
11,11.0,서울특별시 구로구 디지털로 288,구로디지털점,37.4835687568,126.8955009574,버거킹,,,,,,,,
12,12.0,서울특별시 종로구 삼봉로 57,종로구청점,37.5725602553,126.9804753935,버거킹,,,,,,,,
13,13.0,서울특별시 강동구 양재대로 1440,길동사거리점,37.5343893117,127.1391414175,버거킹,,,,,,,,
14,14.0,서울특별시 중구 순화동 215 1층,서대문역점,37.5631577,126.969644,버거킹,,,,,,,,
15,15.0,서울특별시 송파구 송이로 239,문정점,37.4880581,127.1317394,버거킹,,,,,,,,
16,16.0,서울특별시 영등포구 양평로 58,당산역점,37.5350638119,126.9006699067,버거킹,,,,,,,,
17,17.0,서울특별시 동작구 동작대로 21,사당역점(리모델링-03/14~05/01),37.4784813521,126.9813636536,버거킹,,,,,,,,
18,18.0,서울특별시 송파구 백제고분로51길 30,몽촌토성점,37.5169706639,127.1125360575,버거킹,,,,,,,,
19,19.0,서울특별시 구로구 시흥대로 551,구로점,37.4825399,126.9002463,버거킹,,,,,,,,
20,20.0,서울특별시 양천구 오목로 238,목동역점,37.5258910608,126.8639424158,버거킹,,,,,,,,
21,21.0,서울특별시 중구 퇴계로 216,충무로역점,37.5613353869,126.9958122562,버거킹,,,,,,,,
22,22.0,서울특별시 강남구 봉은사로 179,차병원사거리점,37.5074617005,127.0333964264,버거킹,,,,,,,,
23,23.0,서울특별시 강남구 논현로 172 (도곡동 410-10) 1층,강남도곡점,37.48488,127.0419322,버거킹,,,,,,,,
24,24.0,서울특별시 중구 다산로 142,약수역점,37.5562748764,127.0117520515,버거킹,,,,,,,,
25,25.0,서울특별시 강남구 선릉로 812,청담점,37.5243049057,127.0397254302,버거킹,,,,,,,,
26,26.0,서울특별시 강남구 광평로 280,수서점,37.4873181732,127.1031067143,버거킹,,,,,,,,
27,27.0,서울특별시 성북구 돌곶이로 50,석관점,37.6085901042,127.0596213448,버거킹,,,,,,,,
28,28.0,서울특별시 동대문구 한천로 100,장안SK점,37.5701545458,127.0649833314,버거킹,,,,,,,,
29,29.0,서울특별시 중구 다산로 258,신당역점,37.5657960248,127.0166252022,버거킹,,,,,,,,
30,30.0,서울특별시 관악구 신림로 318,신림역점,37.4825744412,126.9302534836,버거킹,,,,,,,,
31,31.0,서울특별시 은평구 통일로 834,연신내역점,37.6181230909,126.9226558865,버거킹,,,,,,,,
32,32.0,서울특별시 광진구 아차산로 272,건대역점,37.5385572812,127.0729984469,버거킹,,,,,,,,
33,33.0,서울특별시 중구 필동로1길 30,동국대점,37.5581783508,126.9980035491,버거킹,,,,,,,,
34,34.0,서울특별시 서대문구 통일로 464,홍제역점,37.589962619,126.9432196281,버거킹,,,,,,,,
35,35.0,서울특별시 서초구 서초대로 283,교대역점,37.4936767428,127.0126966321,버거킹,,,,,,,,
36,36.0,서울특별시 영등포구 영중로 119,영등포KT점,37.5268467809,126.9051743303,버거킹,,,,,,,,
37,37.0,서울특별시 서대문구 수색로 56,가재울뉴타운점,37.5708141022,126.9127073134,버거킹,,,,,,,,
38,38.0,서울특별시 구로구 가마산로 250,구로구청점,37.4948143046,126.8886777695,버거킹,,,,,,,,
39,39.0,서울특별시 강서구 마곡동로 56,마곡점,37.55997871446434,126.83380170926372,버거킹,,,,,,,,
40,40.0,서울특별시 마포구 마포대로 144,공덕역점,37.5470005411,126.9537580588,버거킹,,,,,,,,
41,41.0,서울특별시 마포구 양화로 100,서교동사거리점,37.5527047388,126.9186856652,버거킹,,,,,,,,
42,42.0,서울특별시 성북구 안암로 73,안암오거리점,37.583038642,127.0291234555,버거킹,,,,,,,,
43,43.0,서울특별시 강북구 도봉로 188,미아역점,37.6256380067,127.0267974439,버거킹,,,,,,,,
44,44.0,서울특별시 양천구 화곡로 64,신월점,37.5390578392,126.8289556158,버거킹,,,,,,,,
45,45.0,서울특별시 성북구 종암로 123,종암점,37.6010141679,127.0331664182,버거킹,,,,,,,,
46,46.0,서울특별시 은평구 통일로 945,박석고개SK점,37.6272857513,126.9193974605,버거킹,,,,,,,,
47,47.0,서울특별시 종로구 동숭길 148,혜화역점,37.58352514754791,127.00215110115803,버거킹,,,,,,,,
48,48.0,서울특별시 중랑구 동일로 890,먹골역점,37.6099163323,127.0781872978,버거킹,,,,,,,,
49,49.0,서울특별시 노원구 동일로 1085,공릉역점,37.6267002023,127.0721058113,버거킹,,,,,,,,
50,50.0,서울특별시 송파구 오금로 519,거여역점,37.4930964198,127.1465189543,버거킹,,,,,,,,
51,51.0,서울특별시 중구 청계천로 400,황학이마트점,37.5708119884,127.0214620759,버거킹,,,,,,,,
52,52.0,서울특별시 관악구 남부순환로 1934,낙성대점,37.4766355936,126.9637366697,버거킹,,,,,,,,
53,53.0,서울특별시 금천구 디지털로9길 46,가산이앤씨7점,37.4800579058,126.8870987418,버거킹,,,,,,,,
54,54.0,서울특별시 구로구 개봉로 55,개봉점,37.4905763406,126.8557067676,버거킹,,,,,,,,
55,55.0,서울특별시 성동구 왕십리로 410,왕십리센트라스점,37.564669126,127.0292611826,버거킹,,,,,,,,
56,56.0,서울특별시 광진구 능동로 245,군자능동점,37.5522322045,127.076538112,버거킹,,,,,,,,
57,57.0,서울특별시 동대문구 보문로 6,신설동역점,37.5761346723325,127.02352845643172,버거킹,,,,,,,,
58,58.0,서울특별시 서초구 신반포로 194,반포고속터미널점,37.5064354739,127.0068357234,버거킹,,,,,,,,
59,59.0,서울특별시 송파구 법원로 8길 13,문정역점,37.48455358630912,127.12230609148229,버거킹,,,,,,,,
60,60.0,서울특별시 강동구 양재대로 1323,둔촌GS FS점,37.52453422376118,127.13442157252156,버거킹,,,,,,,,
61,61.0,서울특별시 강남구 강남대로 406,강남대로점,37.4990209,127.0276559,버거킹,,,,,,,,
62,62.0,서울특별시 금천구 가산디지털1로 168,가산디지털점,37.48191218821725,126.88158303434446,버거킹,,,,,,,,
63,63.0,서울특별시 서초구 방배중앙로 200,방배카페골목,37.4970246929,126.9856336645,버거킹,,,,,,,,
64,64.0,서울특별시 중구 서소문로 136,시청역점,37.5635494826,126.9760453968,버거킹,,,,,,,,
65,65.0,서울특별시 송파구 올림픽로 76,종합운동장사거리점,37.5115631,127.0792026,버거킹,,,,,,,,
66,66.0,서울특별시 영등포구 국회대로70길 23,서여의도점,37.5288766777,126.9210104044,버거킹,,,,,,,,
67,67.0,서울특별시 용산구 한강대로 405,서울역점,37.5548376897,126.9717340524,버거킹,,,,,,,,
68,68.0,서울특별시 송파구 오금로 99,송파구청점,37.5134178844,127.1078389279,버거킹,,,,,,,,
69,69.0,서울특별시 서대문구 연희로 97,연희점,37.5668038826,126.9305145968,버거킹,,,,,,,,
70,70.0,서울특별시 용산구 한강대로23길 55,용산이마트점,37.5297736038,126.9647427471,버거킹,,,,,,,,
71,71.0,서울특별시 성북구 안암로 145,고대중앙광장점,37.5887034224,127.0316981048,버거킹,,,,,,,,
72,72.0,서울특별시 강남구 도곡로 447,대치점,37.4986937546,127.0593167322,버거킹,,,,,,,,
73,73.0,서울특별시 서초구 강남대로 221,양재점,37.483307215,127.0344258652,버거킹,,,,,,,,
74,74.0,서울특별시 동작구 상도로 83,신대방삼거리역점,37.4999121,126.9299862,버거킹,,,,,,,,
75,75.0,서울특별시 서초구 잠원로 69,강남NC점,37.5098628752,127.0071934462,버거킹,,,,,,,,
76,76.0,서울특별시 용산구 한강대로 92,국제점,37.5281742219,126.9675220252,버거킹,,,,,,,,
77,77.0,서울특별시 은평구 통일로 642,녹번대성GS점,37.6040784,126.9352716,버거킹,,,,,,,,
78,78.0,서울특별시 관악구 남부순환로 1796,서울대입구역점,37.4813393,126.9496075,버거킹,,,,,,,,
79,79.0,서울특별시 강서구 양천로 476,가양역점,37.5616037,126.8532854,버거킹,,,,,,,,
80,80.0,서울특별시 서대문구 신촌로 121,신촌1점,37.5562107,126.9393157,버거킹,,,,,,,,
81,81.0,서울특별시 영등포구 도신로 237,신길점,37.5126727,126.9171424,버거킹,,,,,,,,
82,82.0,서울특별시 마포구 월드컵로 155,마포구청역점,37.5613848,126.9049244,버거킹,,,,,,,,
83,83.0,서울특별시 강남구 봉은사로 502,삼성중앙역점,37.5128872,127.0538726,버거킹,,,,,,,,
84,84.0,서울특별시 광진구 아차산로 466,구의점,37.5397064,127.0939346,버거킹,,,,,,,,
85,85.0,서울특별시 양천구 중앙로 275,신정네거리역점,37.5207853,126.852237,버거킹,,,,,,,,
86,86.0,서울특별시 강동구 성내로 22,강동구청점,37.5296075,127.1228378,버거킹,,,,,,,,
87,87.0,서울특별시 강서구 강서로 308,내발산점,37.5531306,126.8368615,버거킹,,,,,,,,
88,88.0,서울특별시 광진구 아차산로 229 1층,건대입구역점,37.5408305,127.0690816,버거킹,,,,,,,,
89,89.0,서울특별시 강남구 봉은사로 105,신논현역점,37.5049634,127.0250571,버거킹,,,,,,,,
90,90.0,서울특별시 관악구 신림로 141,신림미림여고입구점,37.4716121,126.9334537,버거킹,,,,,,,,
91,91.0,서울특별시 강서구 공항대로 549,등촌역점,37.5502213,126.8670783,버거킹,,,,,,,,
92,92.0,서울특별시 성북구 동소문로 120,성신여대입구역점,37.5935068,127.0184118,버거킹,,,,,,,,
