,매장명,시,구,동,위도,경도
0,다이소 경동시장점,서울특별시,동대문구,제기동,37.5790547,127.0381656
1,다이소 전농점,서울특별시,동대문구,전농동,37.5778357,127.0585527
2,다이소 레몬전농점,서울특별시,동대문구,전농동,37.5765990,127.0606814
3,다이소 회기역점,서울특별시,동대문구,휘경동,37.5900632,127.0567327
4,다이소 청량리역점,서울특별시,동대문구,청량리동,37.5802473,127.0446562
5,다이소 장한평역점,서울특별시,동대문구,장안동,37.5623559,127.0655112
6,다이소 외대역점,서울특별시,동대문구,이문동,37.5958538,127.0619670
7,다이소 장안사거리점,서울특별시,동대문구,장안동,37.5719087,127.0711673
8,다이소 롯데마트청량리점,서울특별시,동대문구,전농동,37.5800430,127.0476825
9,다이소 홈플러스동대문점,서울특별시,동대문구,용두동,37.5745562,127.0390322
10,다이소 강남세곡점,서울특별시,강남구,세곡동,37.4665005,127.1001404
11,다이소 한티역점,서울특별시,강남구,도곡동,37.4959917,127.0527974
12,다이소 신사역점,서울특별시,강남구,논현동,37.5159589,127.0201726
13,다이소 압구정역점,서울특별시,강남구,신사동,37.5268821,127.0288631
14,다이소 매봉역점,서울특별시,강남구,도곡동,37.4866883,127.0471635
15,다이소 도곡점,서울특별시,강남구,도곡동,37.4918593,127.0400147
16,다이소 신논현역점,서울특별시,강남구,역삼동,37.5043479,127.0250552
17,다이소 대치본점,서울특별시,강남구,대치동,37.4983292,127.0582349
18,다이소 대치역점,서울특별시,강남구,대치동,37.4932591,127.0596241
19,다이소 코엑스몰점,서울특별시,강남구,삼성동,37.5116621,127.0594275
20,다이소 구산역점,서울특별시,은평구,갈현동,37.6121952,126.9160971
21,다이소진흥마켓녹번점,서울특별시,은평구,녹번동,37.6016928,126.9303450
22,다이소 응암본점,서울특별시,은평구,응암동,37.6006478,126.9220361
23,다이소 응암역점,서울특별시,은평구,신사동,37.5987715,126.9153175
24,다이소 불광역점,서울특별시,은평구,대조동,37.6108509,126.9289090
25,다이소 연신내점,서울특별시,은평구,불광동,37.6199448,126.9227377
26,다이소 롯데몰은평점,서울특별시,은평구,진관동,37.6375366,126.9179003
27,다이소 롯데슈퍼범서점,서울특별시,은평구,불광동,37.6185864,126.9219452
28,다이소 동부시장점,서울특별시,중랑구,상봉동,37.5937441,127.0761992
29,다이소 태릉시장점,서울특별시,중랑구,중화동,37.5996154,127.0794000
30,다이소 사가정2호점,서울특별시,중랑구,면목동,37.5785666,127.0863382
31,다이소 상봉역점,서울특별시,중랑구,상봉동,37.5962709,127.0843605
32,다이소 망우2호점,서울특별시,중랑구,망우동,37.5992250,127.0984140
33,다이소 망우2호점 주차장,서울특별시,중랑구,망우동,37.5990402,127.0982910
34,다이소 망우2호점 주차장입구,서울특별시,중랑구,망우동,37.5992154,127.0981875
35,다이소 망우2호점입구,서울특별시,중랑구,망우동,37.5992434,127.0982961
36,다이소 먹골역점,서울특별시,중랑구,묵동,37.6097661,127.0776234
37,다이소 금호금남시장점,서울특별시,성동구,금호동4가,37.5479275,127.0215525
38,다이소 성수2가점,서울특별시,성동구,성수동2가,37.5372289,127.0550510
39,다이소 상왕십리역점,서울특별시,성동구,하왕십리동,37.5643417,127.0286888
40,다이소 롯데마트행당역점,서울특별시,성동구,행당동,37.5565779,127.0289000
41,다이소 답십리점,서울특별시,성동구,용답동,37.5652592,127.0543066
42,다이소 옥수역점,서울특별시,성동구,옥수동,37.5417193,127.0172595
43,다이소 동덕여대점,서울특별시,성북구,하월곡동,37.6041488,127.0429115
44,다이소 종암점,서울특별시,성북구,종암동,37.5989493,127.0340909
45,다이소 한성대입구역2호점,서울특별시,성북구,동소문동2가,37.5889226,127.0077719
46,다이소 정릉시장점,서울특별시,성북구,정릉동,37.6054308,127.0111634
47,다이소 성신여대역점,서울특별시,성북구,동선동1가,37.5918025,127.0168342
48,다이소 안암점,서울특별시,성북구,안암동5가,37.5839169,127.0295968
49,다이소 홈플러스월곡점,서울특별시,성북구,하월곡동,37.6019460,127.0405334
50,다이소 종로본점,서울특별시,종로구,종로2가,37.5699500,126.9874543
51,다이소 대학로점,서울특별시,종로구,혜화동,37.5836034,127.0019703
52,다이소 동묘점,서울특별시,종로구,숭인동,37.5734385,127.0161156
53,다이소 경복궁역점,서울특별시,종로구,적선동,37.5761611,126.9728832
54,다이소 안국역2호점,서울특별시,종로구,안국동,37.5762754,126.9844118
55,다이소 동대문점,서울특별시,종로구,창신동,37.5702339,127.0099848
56,다이소 현대시티아울렛동대문점,서울특별시,중구,을지로6가,37.5687346,127.0076665
57,다이소 혜화점,서울특별시,종로구,명륜2가,37.5833066,126.9987142
58,다이소 대신시장점,서울특별시,영등포구,신길동,37.5124994,126.9169545
59,다이소 선유도역점,서울특별시,영등포구,양평동5가,37.5381180,126.8933960
60,다이소 영등포역점,서울특별시,영등포구,영등포동3가,37.5179881,126.9061143
61,다이소 여의도점,서울특별시,영등포구,여의도동,37.5232166,126.9261813
62,다이소 대림2호점,서울특별시,영등포구,대림동,37.4945612,126.8991128
63,다이소 당산점,서울특별시,영등포구,당산동5가,37.5341442,126.9010552
64,다이소 롯데빅마켓영등포점,서울특별시,영등포구,영등포동8가,37.5278091,126.9046989
65,다이소 홈플러스영등포점,서울특별시,영등포구,문래동3가,37.5179650,126.8961692
66,다이소 상일동역점,서울특별시,강동구,고덕동,37.5580244,127.1697336
67,다이소 엔터식스천호점,서울특별시,강동구,천호동,37.5385785,127.1237464
68,다이소 천호본점,서울특별시,강동구,성내동,37.5380300,127.1241552
69,다이소 둔촌동역점,서울특별시,강동구,성내동,37.5275940,127.1358194
70,다이소 암사역점,서울특별시,강동구,암사동,37.5507563,127.1274902
71,다이소 고덕점,서울특별시,강동구,명일동,37.5540176,127.1555846
72,다이소 길동점,서울특별시,강동구,길동,37.5388333,127.1406375
73,다이소 천호점,서울특별시,강동구,천호동,37.5412770,127.1249960
74,다이소 홈플러스강동점,서울특별시,강동구,천호동,37.5457146,127.1422553
75,다이소 GS슈퍼명일점,서울특별시,강동구,명일동,37.5510571,127.1447948
76,다이소 목동사거리점,서울특별시,강서구,화곡동,37.5334735,126.8633118
77,다이소 화곡대림점,서울특별시,강서구,화곡동,37.5342641,126.8373352
78,다이소 까치산2호점,서울특별시,강서구,화곡동,37.5309150,126.8474880
79,다이소 화곡역점,서울특별시,강서구,화곡동,37.5415829,126.8393589
80,다이소 화양동점,서울특별시,광진구,화양동,37.5477391,127.0709688
81,다이소 아차산역2호점,서울특별시,광진구,구의동,37.5519599,127.0900769
82,다이소 중곡역점,서울특별시,광진구,중곡동,37.5665527,127.0814793
83,다이소 동서울터미널점,서울특별시,광진구,구의동,37.5349909,127.0941168
84,다이소 건대입구점,서울특별시,광진구,화양동,37.5408610,127.0685410
85,다이소 구의역점,서울특별시,광진구,자양동,37.5365846,127.0846080
86,다이소 군자역점,서울특별시,광진구,능동,37.5568082,127.0796249
87,다이소 홍대입구점,서울특별시,마포구,서교동,37.5545318,126.9220040
88,다이소 합정동점,서울특별시,마포구,합정동,37.5483491,126.9172803
89,다이소 홍대2호점,서울특별시,마포구,동교동,37.5577905,126.9256160
90,다이소 신촌본점,서울특별시,마포구,노고산동,37.5553195,126.9355290
91,다이소 아현역점,서울특별시,마포구,아현동,37.5570581,126.9558213
92,다이소 상암월드컵점,서울특별시,마포구,성산동,37.5691019,126.8981698
93,다이소 굿모닝마트마포점,서울특별시,마포구,구수동,37.5459498,126.9324580
94,다이소 구로구청점,서울특별시,구로구,구로동,37.4959416,126.8895646
95,다이소 고척동점,서울특별시,구로구,고척동,37.5035374,126.8622894
96,다이소 개봉역남부점,서울특별시,구로구,개봉동,37.4940417,126.8582466
97,다이소 구로디지털2호점,서울특별시,구로구,구로동,37.4829942,126.9011103
98,다이소 개봉역점,서울특별시,구로구,개봉동,37.4951676,126.8590525
99,다이소 구로시장점,서울특별시,구로구,구로동,37.4900274,126.8887039
100,다이소 오류동점,서울특별시,구로구,오류동,37.4963679,126.8439191
101,다이소 현대백화점디큐브시티점,서울특별시,구로구,신도림동,37.5083236,126.8884274
102,다이소신월우성상가점,서울특별시,양천구,신월7동,37.5226551,126.8335907
103,다이소 오목교점,서울특별시,양천구,목동,37.5239184,126.8752709
104,다이소 신곡시장점,서울특별시,양천구,신월동,37.5176271,126.8416168
105,다이소 목동역점,서울특별시,양천구,신정동,37.5259113,126.8638627
106,다이소 신정네거리점,서울특별시,양천구,신정동,37.5213789,126.8535549
107,다이소 등촌시장점,서울특별시,양천구,목동,37.5483099,126.8655209
108,다이소 홈플러스목동점,서울특별시,양천구,목동,37.5303272,126.8730075
